CHRG_DESC,PREM_DESC,ADDRESS,LAT_LONG,DATETIME,DOW,DISTRICT,CASE_NUMBER
INTIMIDATION WITH A WEAPON,STREET/HIGHWAY/ALLEYWAY,44 ORANGE ST,"41.3039343, -72.9255795",2019-09-04T23:40:00Z,WED,1,19035704
LARCENY,STREET/HIGHWAY/ALLEYWAY,500 CHAPEL ST,"41.3035556, -72.9151077",2019-09-02T16:51:00Z,MON,1,19035364
LARCENY,STREET/HIGHWAY/ALLEYWAY,CHAPEL ST & UNION ST,"41.30431859999999, -72.9216111",2019-09-04T22:37:00Z,WED,1,19035698
LARCENY,PARKING LOT/GARAGE,62 LYON ST,"41.308416, -72.9171957",2019-09-06T12:03:00Z,FRI,1,19035935
BURGLARY,RESIDENCE/HOME,400 BLAKE ST,"41.3283587, -72.956985",2019-09-06T19:30:00Z,FRI,2,19036012
LARCENY,STREET/HIGHWAY/ALLEYWAY,198 LAWNCREST RD,"41.3325256, -72.9820067",2019-09-03T08:07:00Z,TUE,2,19035423
MOTOR VEHICLE THEFT,RESIDENCE/HOME,1033 WHALLEY AVE,"41.3290534, -72.9640958",2019-09-02T09:48:00Z,MON,2,19035330
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,37 HILLTOP RD,"41.3373293, -72.9701895",2019-09-05T07:17:00Z,THU,2,19035717
BURGLARY,RESIDENCE/HOME,533 HOWARD AVE,"41.2957298, -72.9333929",2019-09-02T01:04:00Z,MON,3,19035300
LARCENY,STREET/HIGHWAY/ALLEYWAY,135 SPRING ST,"41.2941866, -72.9348218",2019-09-04T11:34:00Z,WED,3,19035608
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,58 LIBERTY ST,"41.2968931, -72.93057689999999",2019-09-03T10:37:00Z,TUE,3,19035433
MOTOR VEHICLE THEFT,RESIDENCE/HOME,111 BUTTON ST,"41.2942078, -72.9367135",2019-09-04T09:05:00Z,WED,3,19035577
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,1492 CHAPEL ST,"41.3113184, -72.9456414",2019-09-06T18:35:00Z,FRI,4,19036011
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,59 KENSINGTON ST,"41.3118888, -72.9392512",2019-09-03T23:26:00Z,TUE,4,19035540
LARCENY,STREET/HIGHWAY/ALLEYWAY,1150 CHAPEL ST,"41.3084694, -72.932546",2019-09-06T09:32:00Z,FRI,4,19035209
ROBBERY,STREET/HIGHWAY/ALLEYWAY,88 BROADWAY,"41.3122006, -72.9324094",2019-09-03T11:18:00Z,TUE,4,19035449
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,210 DAVENPORT AVE,"41.3016324, -72.94073",2019-09-08T07:06:00Z,SUN,5,19036236
ROBBERY,RESIDENCE/HOME,27 ELLIOTT ST,"41.3028988, -72.9405061",2019-09-03T17:55:00Z,TUE,5,19035496
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,219 ASHMUN ST,"41.3181009, -72.929458",2019-09-04T20:06:00Z,WED,6,19035682
BURGLARY,RESIDENCE/HOME,265 W IVY ST,"41.3310046, -72.9369904",2019-09-07T05:40:00Z,SAT,7,19036075
BURGLARY,RESIDENCE/HOME,169 BUTLER ST,"41.3344794, -72.92905429999999",2019-09-08T11:46:00Z,SUN,7,19036268
BURGLARY,RESIDENCE/HOME,205 SHEFFIELD AVE,"41.329292, -72.924751",2019-09-08T21:29:00Z,SUN,7,19036340
LARCENY,PARKING LOT/GARAGE,257 WILLOW ST,"41.3226017, -72.9124818",2019-09-05T08:16:00Z,THU,7,19035725
ROBBERY,CONVENIENCE STORE,706 DIXWELL AVE,"41.3323765, -72.9354832",2019-09-05T17:00:00Z,THU,7,19035259
AGGRAVATED ASSAULT,RESIDENCE/HOME,226 LLOYD ST,"41.3080625, -72.9011373",2019-09-03T22:47:00Z,TUE,8,19035537
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,197 CHATHAM ST,"41.3145734, -72.8957612",2019-09-03T21:50:00Z,TUE,8,19035531
BURGLARY,COMMERCIAL/OFFICE BLDG,656 GRAND AVE,"41.3083505, -72.912143",2019-09-06T10:14:00Z,FRI,8,19035937
BURGLARY,RESIDENCE/HOME,37 DEL RIO DR,"41.3179378, -72.88903359999999",2019-09-07T23:45:00Z,SAT,8,19036203
FIREARM DISCHARGE,STREET/HIGHWAY/ALLEYWAY,270 LLOYD ST,"41.3098567, -72.90141419999999",2019-09-02T01:06:00Z,MON,8,19035286
LARCENY,STREET/HIGHWAY/ALLEYWAY,321 EXCHANGE ST,"41.3071186, -72.9016911",2019-09-07T10:53:00Z,SAT,8,19036096
ROBBERY,RESIDENCE/HOME,105 HAVEN ST,"41.3098282, -72.9041247",2019-09-06T20:51:00Z,FRI,8,19036001
ROBBERY,STREET/HIGHWAY/ALLEYWAY,110 HAMILTON ST,"41.3064204, -72.9129736",2019-09-08T13:34:00Z,SUN,8,19036262
AGGRAVATED ASSAULT,OTHER/UNKNOWN,42 JUDITH TER,"41.2964451, -72.8899194",2019-09-08T01:57:00Z,SUN,9,19036221
BURGLARY,RESIDENCE/HOME,962 TOWNSEND AVE,"41.2829436, -72.8944229",2019-09-04T18:04:00Z,WED,9,19035659
LARCENY,RESIDENCE/HOME,147 TOWNSEND TER,"41.2735516, -72.89125709999999",2019-09-03T08:03:00Z,TUE,9,19035419
LARCENY,RESIDENCE/HOME,456 EASTERN ST,"41.319029, -72.8716596",2019-09-04T09:59:00Z,WED,9,19035584
MOTOR VEHICLE THEFT,RESIDENCE/HOME,56 MORRIS COVE RD,"41.2577458, -72.8931308",2019-09-03T07:41:00Z,TUE,9,19035414
BURGLARY,RESIDENCE/HOME,200 ELLSWORTH AVE,"41.316573, -72.9489849",2019-09-05T09:46:00Z,THU,10,19035746
FIREARM DISCHARGE,STREET/HIGHWAY/ALLEYWAY,354 SHERMAN AVE,"41.31839799999999, -72.9416018",2019-09-05T00:53:00Z,THU,10,19035707
LARCENY,STREET/HIGHWAY/ALLEYWAY,ELDERT ST & HUBINGER ST,"41.3203353, -72.9536928",2019-09-04T08:39:00Z,WED,10,19035573
LARCENY,STREET/HIGHWAY/ALLEYWAY,26 BROWNELL ST,"41.31641800000001, -72.9522181",2019-09-05T19:09:00Z,THU,10,19035871
LARCENY,STREET/HIGHWAY/ALLEYWAY,111 BLAKE ST,"41.3229674, -72.9507395",2019-09-06T18:33:00Z,FRI,10,19036015
MOTOR VEHICLE THEFT,CONVENIENCE STORE,WHALLEY AVE & SHERMAN A,"41.3165267, -72.9428365",2019-09-02T19:29:00Z,MON,10,19035377
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,BLAKE ST & JEWELL ST,"41.3260307, -72.9527597",2019-09-03T00:25:00Z,TUE,10,19035399
MOTOR VEHICLE THEFT,SERVICE/GAS STATION,775 WHALLEY AVE,"41.3250488, -72.95638749999999",2019-09-05T21:50:00Z,THU,10,19035869
AGGRAVATED ASSAULT,BAR/NIGHT CLUB,300 YORK STREET,"41.3115533, -72.9295973",2019-09-22T02:48:00Z,SUN,1,19038339
BURGLARY,RESTAURANT,742 CHAPEL ST,"41.3047785, -72.9230137",2019-09-19T23:02:00Z,THU,1,19038036
LARCENY,PARKING LOT/GARAGE,532 STATE ST,"41.307601, -72.9210508",2019-09-20T10:17:00Z,FRI,1,19038076
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,265 CHURCH ST,"41.3098693, -72.9221099",2019-09-16T03:35:00Z,MON,1,19037437
MOTOR VEHICLE THEFT,PARKING LOT/GARAGE,81 GEORGE ST,"41.303801, -72.92603199999999",2019-09-16T09:00:00Z,MON,1,19037448
MOTOR VEHICLE THEFT,PARKING LOT/GARAGE,60 WARREN ST,"41.3019531, -72.9204027",2019-09-16T09:52:00Z,MON,1,19037459
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,89 GEORGE ST,"41.303801, -72.92603199999999",2019-09-20T08:54:00Z,FRI,1,19038065
AGGRAVATED ASSAULT,RESIDENCE/HOME,556 CENTRAL AVE,"41.3242378, -72.96092569999999",2019-09-20T01:02:00Z,FRI,2,19038047
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,20 BROOKSIDE AVE,"41.3435622, -72.95985139999999",2019-09-22T17:46:00Z,SUN,2,19038415
BURGLARY,SCHOOL-PRESCHOOL THRU 12TH,200 WILMOT RD,"41.3444451, -72.95855929999999",2019-09-16T07:20:00Z,MON,2,19037444
BURGLARY,RESIDENCE/HOME,524 VALLEY ST,"41.3370022, -72.9729265",2019-09-16T09:44:00Z,MON,2,19037476
INTIMIDATION WITH A WEAPON,RESIDENCE/HOME,4 SHIRLEY WAY,"41.3479207, -72.9593494",2019-09-19T23:05:00Z,THU,2,19038039
LARCENY,PARKING LOT/GARAGE,568 CENTRAL AVE,"41.3245611, -72.96102309999999",2019-09-17T08:09:00Z,TUE,2,19037622
LARCENY,PARKING LOT/GARAGE,195 CLEVELAND RD,"41.3157442, -72.97062369999999",2019-09-17T09:55:00Z,TUE,2,19037655
LARCENY,STREET/HIGHWAY/ALLEYWAY,479 CENTRAL AVE,"41.32210509999999, -72.96135079999999",2019-09-17T13:13:00Z,TUE,2,19037690
LARCENY,PARKING LOT/GARAGE,910 WHALLEY AVE,"41.327313, -72.960535",2019-09-18T10:11:00Z,WED,2,19036867
LARCENY,RESIDENCE/HOME,18 EDGEWOOD WAY,"41.3201905, -72.9708082",2019-09-21T11:29:00Z,SAT,2,19038229
MOTOR VEHICLE THEFT,RESIDENCE/HOME,223 FAIRFIELD ST,"41.3302941, -72.97626489999999",2019-09-17T12:05:00Z,TUE,2,19037669
BURGLARY,GAMBLING/CASINO/RACETRACK,600 LONG WHARF DR,"41.2989773, -72.91237370000002",2019-09-21T05:12:00Z,SAT,3,19038203
BURGLARY,COMMERCIAL/OFFICE BLDG,470 ELLA T GRASSO BLVD,"41.29252049999999, -72.9437032",2019-09-22T11:27:00Z,SUN,3,19038375
LARCENY,STREET/HIGHWAY/ALLEYWAY,1 UNION AVE,"41.2999277, -72.92551399999999",2019-09-18T01:31:00Z,WED,3,19037760
ROBBERY,CONVENIENCE STORE,16 KIMBERLY AVE,"41.29155000000001, -72.9327729",2019-09-19T12:37:00Z,THU,3,19037958
BURGLARY,RESIDENCE/HOME,143 GILBERT AVE,"41.3091468, -72.9462642",2019-09-18T01:56:00Z,WED,4,19037765
LARCENY,RESIDENCE/HOME,248 ORCHARD ST,"41.308358, -72.94253599999999",2019-09-16T07:36:00Z,MON,4,19037451
LARCENY,PARKING LOT/GARAGE,284 WHALLEY AVE,"41.316283, -72.94207800000001",2019-09-17T12:22:00Z,TUE,4,19037685
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,312 WINTHROP AVE,"41.3127804, -72.94686399999999",2019-09-19T08:11:00Z,THU,4,19037918
FIREARM DISCHARGE,,132 DERBY AVE,"41.3103848, -72.9506473",2019-09-22T04:39:00Z,SUN,4,19038353
ROBBERY,STREET/HIGHWAY/ALLEYWAY,KENSINGTON ST & ELM ST,"41.3136851, -72.9386097",2019-09-20T18:39:00Z,FRI,4,19038135
BURGLARY,STREET/HIGHWAY/ALLEYWAY,227 DAVENPORT AVE,"41.3016262, -72.9416504",2019-09-20T14:23:00Z,FRI,5,19038101
ROBBERY,PARK/PLAYGROUND,ARCH ST & CONGRESS AVE,"41.3000926, -72.93966069999999",2019-09-19T16:24:00Z,THU,5,19037988
LARCENY,STREET/HIGHWAY/ALLEYWAY,21 ADMIRAL ST,"41.3204546, -72.9312229",2019-09-19T12:44:00Z,THU,6,19037955
BURGLARY,STREET/HIGHWAY/ALLEYWAY,45 TRUMBULL ST,"41.3125866, -72.91988359999999",2019-09-16T10:00:00Z,MON,7,19037477
BURGLARY,RESIDENCE/HOME,601 EAST ST,"41.3158433, -72.9087052",2019-09-19T17:20:00Z,THU,7,19037879
BURGLARY,RESIDENCE/HOME,117 SHELDON TER,"41.3298937, -72.92319429999999",2019-09-22T09:00:00Z,SUN,7,19038359
BURGLARY,RESIDENCE/HOME,165 SHEFFIELD AVE,"41.32838539999999, -72.92504",2019-09-22T10:32:00Z,SUN,7,19038372
FIREARM DISCHARGE,STREET/HIGHWAY/ALLEYWAY,434 DIXWELL AVE,"41.3250723, -72.9352652",2019-09-19T21:26:00Z,THU,7,19038030
FIREARM DISCHARGE,STREET/HIGHWAY/ALLEYWAY,24 DAISY ST,"41.33448500000001, -72.93280899999999",2019-09-21T00:59:00Z,SAT,7,19038185
LARCENY,PARKING LOT/GARAGE,249 WILLOW ST,"41.3225158, -72.91225829999999",2019-09-16T11:28:00Z,MON,7,19037503
LARCENY,STREET/HIGHWAY/ALLEYWAY,412 WHITNEY AVE,"41.3221598, -72.9181045",2019-09-16T14:33:00Z,MON,7,19037554
LARCENY,STREET/HIGHWAY/ALLEYWAY,178 COLD SPRING ST,"41.3256301, -72.914704",2019-09-17T18:13:00Z,TUE,7,19037721
LARCENY,STREET/HIGHWAY/ALLEYWAY,107 OGDEN ST,"41.3321956, -72.9151885",2019-09-18T08:56:00Z,WED,7,19037784
LARCENY,STREET/HIGHWAY/ALLEYWAY,47 DORMAN ST,"41.3336909, -72.9371288",2019-09-22T13:35:00Z,SUN,7,19038393
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,MIDDLETOWN AVE & FERRY,"41.3186962, -72.89753309999999",2019-09-17T10:49:00Z,TUE,8,19037660
BURGLARY,OTHER/UNKNOWN,355 JAMES ST,"41.3125009, -72.9031447",2019-09-20T10:55:00Z,FRI,8,19038083
LARCENY,PARKING LOT/GARAGE,216 GRAND AVE,"41.3086449, -72.8960383",2019-09-21T20:55:00Z,SAT,8,19038307
LARCENY,STREET/HIGHWAY/ALLEYWAY,242 GRAND AVE,"41.3087408, -72.8968457",2019-09-16T12:26:00Z,MON,8,19037534
LARCENY,PARKING LOT/GARAGE,238 GRAND AVE,"41.30876019999999, -72.8967009",2019-09-17T21:03:00Z,TUE,8,19037756
LARCENY,RESIDENCE/HOME,60 ATWATER ST,"41.3112271, -72.89292309999999",2019-09-19T18:52:00Z,THU,8,19038003
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,181 POPLAR ST,"41.3067491, -72.8965226",2019-09-21T09:45:00Z,SAT,8,19038213
ROBBERY,STREET/HIGHWAY/ALLEYWAY,95 FERRY ST,"41.3017883, -72.892763",2019-09-21T11:12:00Z,SAT,8,19038242
BURGLARY,RESIDENCE/HOME,441 MIDDLETOWN AVE,"41.3287132, -72.8770196",2019-09-19T01:44:00Z,THU,9,19037905
LARCENY,RESIDENCE/HOME,271 ELAINE TER,"41.2868893, -72.8939384",2019-09-17T11:13:00Z,TUE,9,19037689
LARCENY,STREET/HIGHWAY/ALLEYWAY,970 QUINNIPIAC AVE,"41.3142126, -72.8787303",2019-09-18T08:19:00Z,WED,9,19037773
MOTOR VEHICLE THEFT,RESIDENCE/HOME,227 QUINNIPIAC AVE,"41.2969475, -72.89082340000002",2019-09-17T11:01:00Z,TUE,9,19037699
MOTOR VEHICLE THEFT,RESIDENCE/HOME,89 SHERLAND AVE,"41.3071567, -72.8814781",2019-09-19T19:49:00Z,THU,9,19038019
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,BLAKE ST & OSBORN AVE,"41.3234726, -72.9515431",2019-09-21T02:31:00Z,SAT,10,19038194
BURGLARY,RESIDENCE/HOME,142 CRESCENT ST,"41.3243186, -72.9410968",2019-09-20T08:50:00Z,FRI,10,19038067
LARCENY,STREET/HIGHWAY/ALLEYWAY,977 ELM ST,"41.31921090000001, -72.95424059999999",2019-09-16T15:46:00Z,MON,10,19037557
LARCENY,STREET/HIGHWAY/ALLEYWAY,75 ROYDON RD,"41.3244836, -72.9489402",2019-09-18T07:11:00Z,WED,10,19037789
ROBBERY,BANK,388 WHALLEY AVE,"41.3177182, -72.9463255",2019-09-19T12:17:00Z,THU,10,19037957
BURGLARY,RESIDENCE/HOME,38 CROWN ST,"41.3034031, -72.924668",2019-08-20T12:33:00Z,TUE,1,19033095
BURGLARY,COMMERCIAL/OFFICE BLDG,129 CHURCH ST,"41.30635789999999, -72.925063",2019-08-23T10:49:00Z,FRI,1,19033617
BURGLARY,RESIDENCE/HOME,69 WHITNEY AVE,"41.3124286, -72.9219737",2019-08-25T10:25:00Z,SUN,1,19033946
LARCENY,STREET/HIGHWAY/ALLEYWAY,32 HIGH ST,"41.3072117, -72.9311269",2019-08-25T12:01:00Z,SUN,1,19033966
MOTOR VEHICLE THEFT,RESIDENCE/HOME,43 CHESTNUT ST,"41.3021701, -72.91532690000001",2019-08-22T07:10:00Z,THU,1,19033359
BURGLARY,RESIDENCE/HOME,40 AUSTIN ST,"41.329655, -72.95721999999999",2019-08-25T02:14:00Z,SUN,2,19033695
BURGLARY,SPECIALITY STORE,61 AMITY RD,"41.3364997, -72.9773704",2019-08-24T13:30:00Z,SAT,2,19033809
LARCENY,STREET/HIGHWAY/ALLEYWAY,81 BARNETT ST,"41.32564199999999, -72.965203",2019-08-21T14:52:00Z,WED,2,19033241
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,SALEM ST & CARLISLE ST,"41.2964487, -72.93249469999999",2019-08-19T19:55:00Z,MON,3,19033000
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,421 GREENWICH AVE,"41.2896283, -72.9331608",2019-08-19T01:37:00Z,MON,3,19032898
AGGRAVATED ASSAULT,RESIDENCE/HOME,114 HURLBURT ST,"41.29410660000001, -72.9380516",2019-08-22T01:11:00Z,THU,3,19033349
BURGLARY,RESIDENCE/HOME,246 COLUMBUS AVE,"41.2978749, -72.9330224",2019-08-22T14:43:00Z,THU,3,19033375
BURGLARY,RESIDENCE/HOME,591 ELM ST,"41.3146653, -72.9407276",2019-08-23T10:35:00Z,FRI,4,19033611
FIREARM DISCHARGE,STREET/HIGHWAY/ALLEYWAY,46 PLATT ST,"41.3143277, -72.9425461",2019-08-25T21:03:00Z,SUN,4,19034042
LARCENY,STREET/HIGHWAY/ALLEYWAY,365 CROWN ST,"41.30801, -72.9340374",2019-08-23T01:23:00Z,FRI,4,19033580
LARCENY,RESIDENCE/HOME,30 HOTCHKISS ST,"41.3124778, -72.9453973",2019-08-22T22:15:00Z,THU,4,19033571
MOTOR VEHICLE THEFT,SPECIALITY STORE,408 CROWN ST,"41.3082118, -72.9357218",2019-08-20T08:13:00Z,TUE,4,19033041
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,54 ANN ST,"41.2998271, -72.9425266",2019-08-19T07:59:00Z,MON,5,19032909
FIREARM DISCHARGE,STREET/HIGHWAY/ALLEYWAY,DAVENPORT AVE & KOSSUTH,"41.3014121, -72.94157",2019-08-25T14:09:00Z,SUN,5,19033978
LARCENY,STREET/HIGHWAY/ALLEYWAY,168 DAVENPORT AVE,"41.302107, -72.9391265",2019-08-22T14:19:00Z,THU,5,19033405
LARCENY,PARKING LOT/GARAGE,1 PARK ST,"41.3043831, -72.936538",2019-08-24T11:40:00Z,SAT,5,19033798
MOTOR VEHICLE THEFT,DRUG STORE/DRS OFFICE/HOSPITAL,1 PARK ST,"41.3043831, -72.936538",2019-08-21T07:54:00Z,WED,5,19033187
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,297 ASHMUN ST,"41.3204676, -72.9300908",2019-08-24T00:00:00Z,SAT,6,19033976
AGGRAVATED ASSAULT,RESIDENCE/HOME,883 ORANGE ST,"41.3243303, -72.9096742",2019-08-23T01:04:00Z,FRI,7,19033581
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,HUNTINGTON ST & SHEPARD,"41.3321798, -72.9289139",2019-08-25T02:55:00Z,SUN,7,19033900
BURGLARY,RESIDENCE/HOME,14 LILAC ST,"41.3296407, -72.92690449999999",2019-08-23T10:32:00Z,FRI,7,19033622
FIREARM DISCHARGE,STREET/HIGHWAY/ALLEYWAY,431 SHELTON AVE,"41.3348003, -72.93016159999999",2019-08-24T01:59:00Z,SAT,7,19033747
LARCENY,STREET/HIGHWAY/ALLEYWAY,26 RIDGE ST,"41.3203912, -72.9012987",2019-08-21T12:01:00Z,WED,7,19033224
LARCENY,PARKING LOT/GARAGE,723 WHITNEY AVE,"41.3300989, -72.91395",2019-08-21T17:04:00Z,WED,7,19033281
LARCENY,STREET/HIGHWAY/ALLEYWAY,603 ORANGE ST,"41.31652750000001, -72.9154423",2019-08-21T19:26:00Z,WED,7,19033307
LARCENY,STREET/HIGHWAY/ALLEYWAY,117 NICOLL ST,"41.3186665, -72.9095165",2019-08-23T17:37:00Z,FRI,7,19033699
LARCENY,STREET/HIGHWAY/ALLEYWAY,350 WHITNEY AVE,"41.320239, -72.91902189999999",2019-08-25T07:18:00Z,SUN,7,19033933
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,3 LYMAN ST,"41.3245543, -72.89548570000001",2019-08-22T14:48:00Z,THU,7,19033406
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,104 SHELDON TER,"41.3295761, -72.92392099999999",2019-08-19T13:54:00Z,MON,7,19032952
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,LLOYD ST & EXCHANGE ST,"41.3070198, -72.9007249",2019-08-21T12:42:00Z,WED,8,19033239
BURGLARY,RESIDENCE/HOME,64 FRONT ST,"41.3065805, -72.89117399999999",2019-08-20T14:24:00Z,TUE,8,19033124
FIREARM DISCHARGE,STREET/HIGHWAY/ALLEYWAY,167 GRAFTON ST,"41.3133844, -72.8958304",2019-08-20T00:37:00Z,TUE,8,19033024
FIREARM DISCHARGE,STREET/HIGHWAY/ALLEYWAY,604 FERRY STREET,"41.3163223, -72.89753189999999",2019-08-24T23:54:00Z,SAT,8,19033911
FIREARM DISCHARGE,STREET/HIGHWAY/ALLEYWAY,215 CHATHAM ST,"41.3142427, -72.896091",2019-08-24T22:08:00Z,SAT,8,19033890
MOTOR VEHICLE THEFT,RESIDENCE/HOME,220 PECK ST,"41.3160444, -72.8962919",2019-08-20T07:15:00Z,TUE,8,19033034
ROBBERY,STREET/HIGHWAY/ALLEYWAY,WOLCOTT ST & POPLAR ST,"41.306382, -72.89665459999999",2019-08-23T17:24:00Z,FRI,8,19033681
ROBBERY,STREET/HIGHWAY/ALLEYWAY,268 PECK ST,"41.315925, -72.8982953",2019-08-21T22:42:00Z,WED,8,19033331
ROBBERY,STREET/HIGHWAY/ALLEYWAY,206 CLINTON AVE,"41.3154606, -72.8921946",2019-08-21T23:09:00Z,WED,8,19033335
ROBBERY,RESIDENCE/HOME,31 SALTONSTALL AVE,"41.3053246, -72.8959227",2019-08-23T03:38:00Z,FRI,8,19033586
ROBBERY,RESIDENCE/HOME,262 JAMES ST,"41.309966, -72.9036292",2019-08-23T05:23:00Z,FRI,8,19033587
ROBBERY,CONVENIENCE STORE,284 CLINTON AVE,"41.3182522, -72.8930397",2019-08-24T20:12:00Z,SAT,8,19033863
AGGRAVATED ASSAULT,RESIDENCE/HOME,351 CONCORD,"41.2673902, -72.8939499",2019-08-22T10:07:00Z,THU,9,19033381
FIREARM DISCHARGE,STREET/HIGHWAY/ALLEYWAY,332 QUINNIPIAC AVE,"41.2995689, -72.8901542",2019-08-19T22:33:00Z,MON,9,19033013
INTIMIDATION WITH A WEAPON,OTHER/UNKNOWN,181 CLIFTON ST,"41.3091034, -72.8786781",2019-08-19T18:57:00Z,MON,9,19032999
INTIMIDATION WITH A WEAPON,STREET/HIGHWAY/ALLEYWAY,631 MIDDLETOWN AVE,"41.332389, -72.8724349",2019-08-24T02:40:00Z,SAT,9,19033761
LARCENY,STREET/HIGHWAY/ALLEYWAY,3 MOUNTAIN RIDGE,"41.3294175, -72.8734735",2019-08-22T15:39:00Z,THU,9,19033499
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,486 QUINNIPIAC AVE,"41.3036763, -72.88889739999999",2019-08-19T23:53:00Z,MON,9,19033025
MOTOR VEHICLE THEFT,RESIDENCE/HOME,56 MAIN ST ANX,"41.288386, -72.89063879999999",2019-08-21T10:10:00Z,WED,9,19033208
LARCENY,STREET/HIGHWAY/ALLEYWAY,517 ELLSWORTH AVE,"41.3240684, -72.9439573",2019-08-20T07:23:00Z,TUE,10,19033037
LARCENY,STREET/HIGHWAY/ALLEYWAY,1886 ELLA T GRASSO BLVD,"41.3300419, -72.9449262",2019-08-21T08:31:00Z,WED,10,19033185
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,40 ROYDON RD,"41.3242273, -72.9496802",2019-08-19T15:51:00Z,MON,10,19032960
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,394 ELLSWORTH AVE,"41.3209056, -72.9465258",2019-08-21T16:35:00Z,WED,10,19033263
ROBBERY,STREET/HIGHWAY/ALLEYWAY,WHALLEY AVE & NORTON ST,"41.3179585, -72.9460429",2019-08-22T17:07:00Z,THU,10,19033004
LARCENY,PARKING LOT/GARAGE,123 YORK ST,"41.3061278, -72.9323072",2019-08-05T12:25:00Z,MON,1,19030811
LARCENY,STREET/HIGHWAY/ALLEYWAY,UNION ST & CHAPEL ST,"41.30431859999999, -72.9216111",2019-08-07T09:00:00Z,WED,1,19031143
ROBBERY,RESTAURANT,46 HIGH ST,"41.3077874, -72.93062259999999",2019-08-08T14:47:00Z,THU,1,19031376
BURGLARY,RESIDENCE/HOME,49 W ROCK AVE,"41.3166177, -72.9615814",2019-08-09T07:13:00Z,FRI,2,19031489
BURGLARY,RESIDENCE/HOME,62 W ROCK AVE,"41.3168782, -72.96204279999999",2019-08-09T05:08:00Z,FRI,2,19031484
BURGLARY,RESIDENCE/HOME,760 EDGEWOOD AVE,"41.3178199, -72.96171989999999",2019-08-09T08:30:00Z,FRI,2,19031507
LARCENY,RESIDENCE/HOME,10 MAPLEWOOD RD,"41.3267829, -72.9768515",2019-08-06T07:06:00Z,TUE,2,19030951
LARCENY,STREET/HIGHWAY/ALLEYWAY,281 JUDWIN AVE,"41.3270804, -72.9803676",2019-08-05T10:02:00Z,MON,2,19030767
LARCENY,PARKING LOT/GARAGE,1918 CHAPEL ST,"41.315008, -72.962436",2019-08-05T15:35:00Z,MON,2,19030875
LARCENY,RESIDENCE/HOME,250 HEMLOCK RD,"41.326374, -72.97666699999999",2019-08-06T10:51:00Z,TUE,2,19030999
LARCENY,RESIDENCE/HOME,33 GREEN HILL TER,"41.3312984, -72.9814885",2019-08-09T08:28:00Z,FRI,2,19031508
LARCENY,STREET/HIGHWAY/ALLEYWAY,17 WILLARD ST,"41.3242799, -72.9616276",2019-08-08T23:22:00Z,THU,2,19031279
LARCENY,STREET/HIGHWAY/ALLEYWAY,ALDEN AVE & FOUNTAIN ST,"41.3265402, -72.9624037",2019-08-08T08:14:00Z,THU,2,19031289
LARCENY,STREET/HIGHWAY/ALLEYWAY,239 W ROCK AVE,"41.321726, -72.96010129999999",2019-08-08T10:14:00Z,THU,2,19031295
LARCENY,PARKING LOT/GARAGE,360 FOUNTAIN ST,"41.32657, -72.97108",2019-08-10T10:11:00Z,SAT,2,19031662
BURGLARY,RENTAL STORAGE FACILITY,78 HOWARD AVE,"41.2832525, -72.93057689999999",2019-08-05T11:21:00Z,MON,3,19030792
BURGLARY,RESIDENCE/HOME,163 MORRIS ST,"41.2932003, -72.9403585",2019-08-05T04:03:00Z,MON,3,19030743
BURGLARY,RESIDENCE/HOME,147 FRANK ST,"41.2943043, -72.9416043",2019-08-07T07:32:00Z,WED,3,19031136
